,aware_loss,aware_tie,aware_win,not_aware_loss,not_aware_tie,not_aware_win
0,0.115,0.081,0.804,0.258,0.113,0.629
1,0.115,0.081,0.804,0.258,0.113,0.629
2,0.042,0.117,0.841,0.197,0.086,0.717
3,0.028,0.113,0.859,0.149,0.089,0.762
4,0.027,0.09,0.883,0.151,0.077,0.772
5,0.038,0.072,0.89,0.13,0.054,0.816
6,0.026,0.085,0.889,0.127,0.069,0.804
7,0.03,0.064,0.906,0.098,0.08,0.822
8,0.033,0.07,0.897,0.082,0.088,0.83
9,0.027,0.075,0.898,0.073,0.081,0.846
10,0.021,0.08,0.899,0.081,0.093,0.826
11,0.027,0.095,0.878,0.074,0.091,0.835
12,0.031,0.097,0.872,0.053,0.088,0.859
13,0.03,0.082,0.888,0.044,0.1,0.856
14,0.031,0.088,0.881,0.053,0.095,0.852
15,0.023,0.106,0.871,0.038,0.096,0.866
16,0.026,0.108,0.866,0.039,0.099,0.862
17,0.018,0.085,0.897,0.04,0.092,0.868
18,0.035,0.091,0.874,0.037,0.085,0.878
19,0.026,0.106,0.868,0.036,0.089,0.875
20,0.032,0.083,0.885,0.03,0.089,0.881
21,0.027,0.091,0.882,0.037,0.093,0.87
22,0.024,0.088,0.888,0.03,0.096,0.874
23,0.016,0.092,0.892,0.029,0.096,0.875
24,0.035,0.087,0.878,0.04,0.1,0.86
25,0.026,0.095,0.879,0.031,0.099,0.87
26,0.028,0.102,0.87,0.04,0.084,0.876
27,0.026,0.097,0.877,0.04,0.097,0.863
28,0.032,0.093,0.875,0.039,0.109,0.852
29,0.021,0.107,0.872,0.036,0.095,0.869
30,0.022,0.092,0.886,0.032,0.102,0.866
31,0.022,0.105,0.873,0.033,0.106,0.861
32,0.02,0.098,0.882,0.025,0.108,0.867
33,0.027,0.099,0.874,0.028,0.111,0.861
34,0.026,0.1,0.874,0.028,0.108,0.864
35,0.017,0.092,0.891,0.027,0.111,0.862
36,0.033,0.1,0.867,0.033,0.113,0.854
37,0.02,0.091,0.889,0.035,0.098,0.867
38,0.015,0.078,0.907,0.026,0.091,0.883
39,0.02,0.079,0.901,0.026,0.107,0.867
40,0.026,0.093,0.881,0.032,0.106,0.862
41,0.023,0.082,0.895,0.033,0.098,0.869
42,0.019,0.082,0.899,0.022,0.106,0.872
43,0.021,0.081,0.898,0.019,0.101,0.88
44,0.03,0.077,0.893,0.021,0.094,0.885
45,0.019,0.085,0.896,0.022,0.094,0.884
46,0.021,0.104,0.875,0.022,0.084,0.894
47,0.03,0.087,0.883,0.021,0.089,0.89
48,0.025,0.092,0.883,0.022,0.089,0.889
49,0.021,0.095,0.884,0.022,0.081,0.897
50,0.026,0.093,0.881,0.027,0.098,0.875
51,0.022,0.095,0.883,0.019,0.097,0.884
52,0.023,0.082,0.895,0.023,0.097,0.88
53,0.017,0.095,0.888,0.017,0.092,0.891
54,0.019,0.109,0.872,0.014,0.093,0.893
55,0.018,0.117,0.865,0.017,0.098,0.885
56,0.033,0.084,0.883,0.024,0.108,0.868
57,0.03,0.091,0.879,0.02,0.097,0.883
58,0.024,0.089,0.887,0.024,0.091,0.885
59,0.021,0.086,0.893,0.023,0.103,0.874
60,0.021,0.083,0.896,0.025,0.091,0.884
61,0.023,0.079,0.898,0.024,0.119,0.857
62,0.02,0.096,0.884,0.023,0.11,0.867
63,0.025,0.082,0.893,0.026,0.111,0.863
64,0.022,0.112,0.866,0.021,0.105,0.874
65,0.026,0.093,0.881,0.029,0.099,0.872
66,0.031,0.096,0.873,0.023,0.112,0.865
67,0.032,0.094,0.874,0.032,0.104,0.864
68,0.016,0.107,0.877,0.026,0.11,0.864
69,0.029,0.086,0.885,0.021,0.101,0.878
70,0.02,0.102,0.878,0.022,0.091,0.887
71,0.013,0.111,0.876,0.026,0.102,0.872
72,0.02,0.096,0.884,0.03,0.118,0.852
73,0.017,0.098,0.885,0.025,0.101,0.874
74,0.023,0.086,0.891,0.033,0.096,0.871
75,0.017,0.092,0.891,0.026,0.095,0.879
76,0.013,0.097,0.89,0.024,0.088,0.888
77,0.01,0.094,0.896,0.021,0.09,0.889
78,0.027,0.093,0.88,0.02,0.092,0.888
79,0.027,0.089,0.884,0.025,0.098,0.877
80,0.018,0.095,0.887,0.027,0.102,0.871
81,0.026,0.094,0.88,0.024,0.113,0.863
82,0.02,0.085,0.895,0.026,0.11,0.864
83,0.013,0.09,0.897,0.027,0.097,0.876
84,0.016,0.096,0.888,0.025,0.081,0.894
85,0.025,0.08,0.895,0.026,0.087,0.887
86,0.019,0.104,0.877,0.032,0.095,0.873
87,0.018,0.097,0.885,0.03,0.094,0.876
88,0.026,0.131,0.843,0.035,0.09,0.875
89,0.013,0.121,0.866,0.028,0.088,0.884
90,0.017,0.113,0.87,0.033,0.105,0.862
91,0.011,0.104,0.885,0.024,0.104,0.872
92,0.026,0.099,0.875,0.029,0.107,0.864
93,0.017,0.087,0.896,0.026,0.099,0.875
94,0.022,0.097,0.881,0.024,0.108,0.868
95,0.023,0.091,0.886,0.029,0.098,0.873
96,0.027,0.094,0.879,0.033,0.102,0.865
97,0.033,0.099,0.868,0.024,0.091,0.885
98,0.024,0.106,0.87,0.023,0.098,0.879
99,0.038,0.089,0.873,0.024,0.097,0.879
100,0.025,0.078,0.897,0.022,0.098,0.88
